,Artist,Top Track,index,Genre,Popularity,Image-URL-L
0,Infinity Crush,Tiny Souls in My Eyelashes,332,Rock,24,https://i.scdn.co/image/ab67616d0000b2737e6318c797a887f8bb837f7d
1,Dehd,Lucky,356,Rock,8,https://i.scdn.co/image/ab67616d0000b2735fdc15a3dec88af78ecf8e0e
2,U2,I Still Haven't Found What I'm Looking For,381,Rock,81,https://static.stereogum.com/uploads/2021/03/U2-I-Still-Havent-Found-What-Im-Looking-For-1614806656.jpg
3,Metallica,Nothing Else Matters (Remastered),377,Rock,85,https://i.scdn.co/image/ab67616d00001e02d534cd7750f657bc2e361666
4,Tame Impala,The Less I Know The Better,70,Indie,83,https://www.beautifulsongoftheweek.com/wp-content/uploads/2023/02/tame-impala-cover.jpeg
5,Mac DeMarco,Heart To Heart,70,Indie,83,https://images.genius.com/a7ddbb793ff659db02588b99e7186ecb.1000x1000x1.jpg
6,Azeda Booth,Ran,26,Indie,6,https://f4.bcbits.com/img/a1854805595_10.jpg
7,Thad Kopec,Bereft of the Myth,1, Indie,18.0,https://f4.bcbits.com/img/a4209830442_10.jpg
8,50 Cent,P.I.M.P.,267,Hip Hop/ Rap,85,https://i.scdn.co/image/ab67616d0000b273b544685b164bae7d53e98c1e
9,Loyle Carner,Speed Of Plight,259, Hip Hop/ Rap,69.0,https://i.scdn.co/image/ab67616d0000b2730d7bd8c43a71910b53126b09
10,Tammy ATQ,WHAT CAN A MAN DO,236, Hip Hop/ Rap,13.0,https://i.scdn.co/image/ab67616d00001e0207a439383fe903258e9b743c
11,Teknical Development.is,Weed Flower Pot Heads,211, Hip Hop/ Rap,27.0,https://i.scdn.co/image/ab67616d0000b2738be35d56d9fded2ea15c616a
12,Taylor Swift,Midnight Rain,158,Pop,100,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
13,Harry Styles,Adore You,193,Pop,91,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
14, Brigida HB,Beyond Reasonable Doubt,133, Pop,0.0,https://i.scdn.co/image/ab67616d0000b2733f5039438455a965726a108e
15,Juletta,Pandora,104, Pop,13,https://i.scdn.co/image/ab67616d0000b27362377eb46c243aaa9a0b927a
16,Nina Kraviz,I'm Gonna Get You - Original Mix,488,Techno,47,https://images.genius.com/e74240fedbdc51395d77bdf2c3299ba4.1000x1000x1.jpg
17,Stephan Bodzin,Sleepless - Stephan Bodzin Remix,471,Techno,50,https://i.scdn.co/image/ab67616d00001e02682938dca05151e5265d69b7
18,Blazej Malinowski,Mika - Original Mix,434,Techno,12,https://i.scdn.co/image/ab67616d0000b273add5c411114a4e46390daff7
19,Innerspace Halflife,Phazzled,446, Techno,1.0,https://i.scdn.co/image/ab67616d0000b2735ce452e9345e9dbe28e4e726