Artist;Top Track;Popularity;Genre;Image-URL-L
Thad Kopec;One Last Wedding;18;Indie;https://i.scdn.co/image/ab67616d0000b27316f5a7835a021ffe5e5992a3
Thad Kopec;Bereft of the Myth;18;Indie;https://f4.bcbits.com/img/a4209830442_10.jpg
Thad Kopec;Nature of Belonging;18;Indie;https://i.scdn.co/image/ab67616d0000b2731932f47d507e88b8995ecf75
Thad Kopec;I Will Listen;18;Indie;https://i.scdn.co/image/ab67616d0000b2731932f47d507e88b8995ecf75
Thad Kopec;Sitting Sill (feat. Liza Anne);18;Indie;https://cdn.musicbed.com/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto,w_400,h_400/v1513265409/production/albums/3669
Songs Of Water;The Sea Has Spoken;24;Indie;https://cdn.musicbed.com/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto,w_400,h_400/v1/production/albums/444
Songs Of Water;Everything That Rises;24;Indie;https://cdn.musicbed.com/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto,w_400,h_400/v1/production/albums/444
Songs Of Water;11 Miles;24;Indie;https://i.scdn.co/image/ab67616d0000b273b76413ee923f577a00484ff0
Songs Of Water;Horizons;24;Indie;https://cdn.musicbed.com/image/upload/c_fill,dpr_auto,f_auto,g_auto,q_auto:best,h_400,w_400/v1526920096/production/albums/3974
Songs Of Water;Golden Summer;24;Indie;https://i.scdn.co/image/ab67616d0000b273b76413ee923f577a00484ff0
Optiganally Yours;Night Shop;12;Indie;https://i1.sndcdn.com/artworks-8N8cqbv1Cx8X-0-t500x500.jpg
Optiganally Yours;Gepetto;12;Indie;https://i.scdn.co/image/ab67616d0000b2730ee26e9d3b9783382a6fc0b6
Optiganally Yours;Whomever Watches You Sleep;12;Indie;https://i1.sndcdn.com/artworks-8N8cqbv1Cx8X-0-t500x500.jpg
Optiganally Yours;How Do You Feel?;12;Indie;https://i1.sndcdn.com/artworks-8N8cqbv1Cx8X-0-t500x500.jpg
Optiganally Yours;Hope in Your Eyes;12;Indie;https://i1.sndcdn.com/artworks-8N8cqbv1Cx8X-0-t500x500.jpg
Moonface;Minotaur Forgiving Knossos;21;Indie;https://f4.bcbits.com/img/a3775302856_10.jpg
Moonface;Teary Eyes And Bloody Lips;21;Indie;https://i.scdn.co/image/ab67616d0000b273b3d6403fe706540a59e20d55
Moonface;Barbarian;21;Indie;https://images.genius.com/28cc9f0b90650fdca69c943e8a8df67c.550x550x1.jpg
Moonface;Minotaur Forgiving Minos;21;Indie;https://f4.bcbits.com/img/a3775302856_10.jpg
Moonface;Minotaur Forgiving Theseus;21;Indie;https://f4.bcbits.com/img/a3775302856_10.jpg
Bunny Lowe;Seventeen;14;Indie;https://images.genius.com/5f94e420892bbe0167116d001e737322.1000x1000x1.png
Bunny Lowe;Nicoteen;14;Indie;https://i.scdn.co/image/ab67616d00001e025c3f0856d14b247eb0faf4df
Bunny Lowe;Strawberry;14;Indie;https://i.scdn.co/image/ab67616d00001e025c3f0856d14b247eb0faf4df
Bunny Lowe;Blood In My Nikes;14;Indie;https://i.scdn.co/image/ab67616d00001e0216bbbb6cb75d977a96f59389
Bunny Lowe;Wow.;14;Indie;https://i.scdn.co/image/ab67616d00001e02b6ed56133ad5a3a4d06aa877
Azeda Booth;Be It;6;Indie;https://f4.bcbits.com/img/a1854805595_10.jpg
Azeda Booth;Ran;6;Indie;https://f4.bcbits.com/img/a1854805595_10.jpg
Azeda Booth;In Red;6;Indie;https://f4.bcbits.com/img/a1854805595_10.jpg
Azeda Booth;Big Fists;6;Indie;https://f4.bcbits.com/img/a1854805595_10.jpg
Azeda Booth;Numberguts;6;Indie;https://f4.bcbits.com/img/a1854805595_10.jpg
Go Cactus;No Money;7;Indie;https://cdns-images.dzcdn.net/images/cover/b5b8f6d57849ecd8863eaaa730835d6b/264x264.jpg
Go Cactus;Space Monkey;7;Indie;https://f4.bcbits.com/img/a1510430627_10.jpg
Go Cactus;On Time;7;Indie;https://cdns-images.dzcdn.net/images/cover/b5b8f6d57849ecd8863eaaa730835d6b/264x264.jpg
Go Cactus;Hippie Jump;7;Indie;https://i.scdn.co/image/ab67616d0000b27301ce454f178d1a64891f3c42
Go Cactus;Something in Your Drink;7;Indie;https://f4.bcbits.com/img/a2553132559_65
Oceanator;I Would Find You;24;Indie;https://images.genius.com/eb480146fe44fb1c464b48ce3b4d0250.1000x1000x1.jpg
Oceanator;Stuck;24;Indie;https://i1.sndcdn.com/artworks-55LOFodZ0cak-0-t500x500.jpg
Oceanator;Bad Brain Daze;24;Indie;https://i1.sndcdn.com/artworks-55LOFodZ0cak-0-t500x500.jpg
Oceanator;Heartbeat;24;Indie;https://images.genius.com/eb480146fe44fb1c464b48ce3b4d0250.1000x1000x1.jpg
Oceanator;The Last Summer;24;Indie;https://i1.sndcdn.com/artworks-55LOFodZ0cak-0-t500x500.jpg
Crisman;Cya;29;Indie;https://f4.bcbits.com/img/a1802704519_10.jpg
Crisman;Portrait;29;Indie;https://f4.bcbits.com/img/a1802704519_10.jpg
Crisman;Ocean;29;Indie;https://f4.bcbits.com/img/a1802704519_10.jpg
Crisman;Surprise;29;Indie;https://f4.bcbits.com/img/a1802704519_10.jpg
Crisman;Rain;29;Indie;https://f4.bcbits.com/img/a1802704519_10.jpg
Gabby's World;The Thunder Answered Back;30;Indie;https://f4.bcbits.com/img/a0498162461_65
Gabby's World;Alone at the Party;30;Indie;https://f4.bcbits.com/img/a0498162461_65
Gabby's World;Broken Necks;30;Indie;https://f4.bcbits.com/img/a0498162461_65
Gabby's World;Corrina;30;Indie;https://f4.bcbits.com/img/a3519582721_10.jpg
Gabby's World;I Admit That I'm Scared;30;Indie;https://f4.bcbits.com/img/a0498162461_65
Foster The People;Pumped Up Kicks;73;Indie;https://i.scdn.co/image/ab67616d0000b273121d5f92cf90576907dfb1e5
Foster The People;Imagination;73;Indie;https://i.scdn.co/image/ab67616d0000b27366d1f6f5ce667d4d9cf8c2bd
Foster The People;Sit Next to Me;73;Indie;https://i1.sndcdn.com/artworks-r0igrqPc0WGfK574-HBZTzw-t500x500.jpg
Foster The People;Houdini;73;Indie;https://i.scdn.co/image/ab67616d0000b273121d5f92cf90576907dfb1e5
Foster The People;Helena Beat;73;Indie;https://i.scdn.co/image/ab67616d0000b273121d5f92cf90576907dfb1e5
The Whitest Boy Alive;Burning;56;Indie;https://i.scdn.co/image/ab67616d0000b273e4d362bfaef191f854113c9f
The Whitest Boy Alive;1517;56;Indie;https://i.scdn.co/image/ab67616d0000b2735c40a5991740f1ccd70dc2eb
The Whitest Boy Alive;Golden Cage;56;Indie;https://i.scdn.co/image/ab67616d0000b273e4d362bfaef191f854113c9f
The Whitest Boy Alive;Inflation;56;Indie;https://i.scdn.co/image/ab67616d0000b273e4d362bfaef191f854113c9f
The Whitest Boy Alive;Fireworks;56;Indie;https://i.scdn.co/image/ab67616d0000b273e4d362bfaef191f854113c9f
Arcade Fire;The Suburbs;68;Indie;https://upload.wikimedia.org/wikipedia/en/8/81/Arcade_Fire_-_The_Suburbs.jpg
Arcade Fire;Wake Up;68;Indie;https://media.pitchfork.com/photos/5929a1a8c0084474cd0bfe6a/1:1/w_600/2099047d.jpg
Arcade Fire;Rebellion (Lies);68;Indie;https://media.pitchfork.com/photos/5929a1a8c0084474cd0bfe6a/1:1/w_600/2099047d.jpg
Arcade Fire;Everything Now;68;Indie;https://upload.wikimedia.org/wikipedia/en/0/0e/Everything_Now_Arcade_Fire.jpg
Arcade Fire;Song on the Beach;68;Indie;https://i.scdn.co/image/ab67616d0000b2739ee9e7d7391bef6297cd9448
Mac DeMarco;Heart To Heart;83;Indie;https://images.genius.com/a7ddbb793ff659db02588b99e7186ecb.1000x1000x1.jpg
Mac DeMarco;Chamber Of Reflection;83;Indie;https://ukutabs.com/wp-content/uploads/2021/08/Salad-Days.jpg
Mac DeMarco;For the First Time;83;Indie;https://i1.sndcdn.com/artworks-TaeZ85Z0efhr-0-t500x500.jpg
Mac DeMarco;My Kind of Woman;83;Indie;https://i.scdn.co/image/ab67616d0000b2739d377496c6bc8724b521222d
Mac DeMarco;Freaking Out the Neighborhood;83;Indie;https://i.scdn.co/image/ab67616d0000b2739d377496c6bc8724b521222d
Tame Impala;The Less I Know The Better;83;Indie;https://www.beautifulsongoftheweek.com/wp-content/uploads/2023/02/tame-impala-cover.jpeg
Tame Impala;Borderline;83;Indie;https://i.scdn.co/image/ab67616d0000b27358267bd34420a00d5cf83a49
Tame Impala;New Gold (feat. Tame Impala and Bootie Brown);83;Indie;https://static.stereogum.com/uploads/2022/08/unnamed-2022-08-30T110543.297-1661872541.jpg
Tame Impala;New Person, Same Old Mistakes;83;Indie;https://www.beautifulsongoftheweek.com/wp-content/uploads/2023/02/tame-impala-cover.jpeg
Tame Impala;Eventually;83;Indie;https://www.beautifulsongoftheweek.com/wp-content/uploads/2023/02/tame-impala-cover.jpeg
Foals;My Number;66;Indie;https://i.scdn.co/image/ab67616d0000b273e7b05d4a95e0907e63789ce7
Foals;Mountain at My Gates;66;Indie;https://i.scdn.co/image/ab67616d0000b273534284c01be83b5abbd206bb
Foals;2am;66;Indie;https://i.scdn.co/image/ab67616d00001e0245a99e9953b74689ae4ff83d
Foals;Late Night - Solomun Remix;66;Indie;https://i.scdn.co/image/ab67616d0000b27349c1db5993c70afdd56ed2f9
Foals;Spanish Sahara;66;Indie;https://i1.sndcdn.com/artworks-9WhFB2Xz8iKZ-0-t500x500.png
Wet Leg;Wet Dream;66;Indie;https://i.scdn.co/image/ab67616d0000b273ea1126a33b0fb88e79915262
Wet Leg;Chaise Longue;66;Indie;https://i.scdn.co/image/ab67616d0000b273ea1126a33b0fb88e79915262
Wet Leg;Being In Love;66;Indie;https://i.scdn.co/image/ab67616d0000b273ea1126a33b0fb88e79915262
Wet Leg;Angelica;66;Indie;https://images.genius.com/b35af4634d9a36eca682fa5a574a399f.1000x1000x1.png
Wet Leg;Ur Mum;66;Indie;https://i.scdn.co/image/ab67616d0000b273ea1126a33b0fb88e79915262
Two Door Cinema Club;What You Know;70;Indie;https://i.scdn.co/image/ab67616d0000b273635eb2cbc738455671d199db
Two Door Cinema Club;Undercover Martyn;70;Indie;https://i.scdn.co/image/ab67616d0000b273635eb2cbc738455671d199db
Two Door Cinema Club;Something Good Can Work;70;Indie;https://i.scdn.co/image/ab67616d0000b273635eb2cbc738455671d199db
Two Door Cinema Club;Sun;70;Indie;https://upload.wikimedia.org/wikipedia/en/1/19/SunCoverTDCC.jpg
Two Door Cinema Club;I Can Talk;70;Indie;https://i.scdn.co/image/ab67616d0000b273635eb2cbc738455671d199db
Cage The Elephant;Cigarette Daydreams;76;Indie;https://i.scdn.co/image/ab67616d0000b273fb1cb900d28642e668d77b12
Cage The Elephant;Ain't No Rest for the Wicked;76;Indie;https://i.scdn.co/image/ab67616d0000b273e4800c920780ac18d4ab6730
Cage The Elephant;Come a Little Closer;76;Indie;https://i.scdn.co/image/ab67616d0000b273fb1cb900d28642e668d77b12
Cage The Elephant;Trouble;76;Indie;https://i.scdn.co/image/ab67616d0000b273e7dd69ac32cf313fde62cbad
Cage The Elephant;Cold Cold Cold;76;Indie;https://i.scdn.co/image/ab67616d0000b273e7dd69ac32cf313fde62cbad
Arctic Monkeys;I Wanna Be Yours;89;Indie;https://images.genius.com/af4ac59ba9e3e8b0fe70d7c1156ff8f2.1000x1000x1.jpg
Arctic Monkeys;505;89;Indie;https://i.ytimg.com/vi/MrmPDUvKyLs/sddefault.jpg
Arctic Monkeys;Do I Wanna Know?;89;Indie;https://images.genius.com/af4ac59ba9e3e8b0fe70d7c1156ff8f2.1000x1000x1.jpg
Arctic Monkeys;Why'd You Only Call Me When You're High?;89;Indie;https://images.genius.com/af4ac59ba9e3e8b0fe70d7c1156ff8f2.1000x1000x1.jpg
Arctic Monkeys;R U Mine?;89;Indie;https://images.genius.com/af4ac59ba9e3e8b0fe70d7c1156ff8f2.1000x1000x1.jpg
Juletta;Across the World (feat. Ishan);13;Pop;https://i.scdn.co/image/ab67616d0000b273525135ee4c2a81101dc15685
Juletta;Strawberry;13;Pop;https://i.scdn.co/image/ab67616d0000b273049bfb9f32c3d5d93f70b27f
Juletta;Gut Feeling;13;Pop;https://i.scdn.co/image/ab67616d0000b2738a9e3eac74a9cb9c335fbd38
Juletta;Solstice;13;Pop;https://i.scdn.co/image/ab67616d0000b273ccfd04e4011ec8b95d83ecad
Juletta;Pandora;13;Pop;https://i.scdn.co/image/ab67616d0000b27362377eb46c243aaa9a0b927a
Heart Beach;Brittle;1;Pop;https://i.scdn.co/image/ab67616d0000b273288b1a2cd982995b3e8f396f
Heart Beach;Away;1;Pop;https://i.scdn.co/image/ab67616d0000b273e02f81786181eef5992f3957
Heart Beach;Know Her;1;Pop;https://i.scdn.co/image/ab67616d0000b2730077d9844f634563c06e3c55
Heart Beach;8am;1;Pop;https://i.scdn.co/image/ab67616d0000b273e02f81786181eef5992f3957
Heart Beach;Summer;1;Pop;https://i.scdn.co/image/ab67616d0000b273e02f81786181eef5992f3957
Hot Lava;Blue Dragon;2;Pop;https://i.scdn.co/image/ab67616d0000b2737f5b3c526826f3c48a6496d8
Hot Lava;Apple+Option+Fire;2;Pop;https://i.ytimg.com/vi/mBt7QrCvLq8/sddefault.jpg
Hot Lava;Mummy Beach;2;Pop;https://i.scdn.co/image/ab67616d0000b2737f5b3c526826f3c48a6496d8
Hot Lava;Ghosties;2;Pop;https://i.scdn.co/image/ab67616d0000b2737f5b3c526826f3c48a6496d8
Hot Lava;Pink Lemonade;2;Pop;https://i.scdn.co/image/ab67616d0000b2739be240dbf371793ec97200fd
The Leaf Library;There Seen from Here;8;Pop;https://i.scdn.co/image/ab67616d0000b273bcfbdb163fd29bbc23a3a607
The Leaf Library;About Minerals;8;Pop;https://i.scdn.co/image/ab67616d00001e02cbfa4346fd15eeb21a92b170
The Leaf Library;Goodbye Four Walls;8;Pop;https://is2-ssl.mzstatic.com/image/thumb/Music122/v4/54/c4/20/54c420b8-31d5-c3d8-2603-2af422ece275/5057805968047.png/400x400bb.jpg
The Leaf Library;Agnes In The Square;8;Pop;https://i.scdn.co/image/ab67616d0000b273079e451ca6c6782ae724d6af
The Leaf Library;Walking Backwards;8;Pop;https://f4.bcbits.com/img/a0310076941_10.jpg
Pallers;Come Rain, Come Sunshine;3;Pop;https://i.scdn.co/image/ab67616d0000b273e9118b12aa2acf005d6cc3ae
Pallers;Humdrum;3;Pop;https://i.scdn.co/image/ab67616d0000b273ec52ef528a22dd9a1395e26c
Pallers;The Kiss;3;Pop;https://i.scdn.co/image/ab67616d0000b273705e784ecdba3e704562801f
Pallers;Another Heaven;3;Pop;https://i.scdn.co/image/ab67616d00001e0226d6ccdad0efd510091e02d8
Pallers;Years Go, Days Pass;3;Pop;https://i.scdn.co/image/ab67616d0000b273ec52ef528a22dd9a1395e26c
Very Truly Yours;I'd Write You a Song;2;Pop;https://i.scdn.co/image/ab67616d0000b2739e3cb8f48547eef79e3ec8f9
Very Truly Yours;Things You Used to Say;2;Pop;https://i.scdn.co/image/ab67616d0000b2739e3cb8f48547eef79e3ec8f9
Very Truly Yours;Love is Hard;2;Pop;https://i.scdn.co/image/ab67616d0000b2739e3cb8f48547eef79e3ec8f9
Very Truly Yours;Dear;2;Pop;https://i.scdn.co/image/ab67616d0000b2739e3cb8f48547eef79e3ec8f9
Very Truly Yours;Sorry to Say It;2;Pop;https://i.scdn.co/image/ab67616d0000b2739e3cb8f48547eef79e3ec8f9
Brigida HB;Forest Queen;0;Pop;https://i.scdn.co/image/ab67616d00001e022ba372185f2c8b40cb1a6ca3
Brigida HB;Dal tuo Valentino;0;Pop;https://i.scdn.co/image/ab67616d0000b273cf300c39b199b6b778619e3f
Brigida HB;Authorized Dealer;0;Pop;https://i.scdn.co/image/ab67616d0000b273cf300c39b199b6b778619e3f
Brigida HB;Beyond Reasonable Doubt;0;Pop;https://i.scdn.co/image/ab67616d0000b2733f5039438455a965726a108e
Brigida HB;Until Further Notice;0;Pop;https://i.scdn.co/image/ab67616d0000b273f31e84aad0cd4f757909621c
Tuba Tuba;Hemmelig Klubb;5;Pop;https://i.scdn.co/image/ab67616d0000b273b32069b63a0de1eea6e3cae9
Tuba Tuba;Årets Lyseste Dag;5;Pop;https://i.scdn.co/image/ab67616d0000b273b32069b63a0de1eea6e3cae9
Tuba Tuba;Slackerkid_91;5;Pop;https://i.scdn.co/image/ab67616d0000b273b32069b63a0de1eea6e3cae9
Tuba Tuba;Kul Ferie;5;Pop;https://i.scdn.co/image/ab67616d00001e028583f7a80161a8a94b39aaaf
Tuba Tuba;Inni Planeten;5;Pop;https://i.scdn.co/image/ab67616d0000b27311dd9837371b1c90d7f26091
pretty havoc.;goddess;30;Pop;https://i.scdn.co/image/ab67616d0000b273c5c99144d90ab15b5efa8e4f
pretty havoc.;JENNIE KIM;30;Pop;https://i.scdn.co/image/ab67616d0000b2735e80d71f6c4152c15c52173e
pretty havoc.;PUNCHING BAG;30;Pop;https://i.scdn.co/image/ab67616d00001e0209c23aebc4f37e499af1a391
pretty havoc.;ATOM BOMB;30;Pop;https://i.scdn.co/image/ab67616d00001e02e8eec2ef09a320fa9a18045d
pretty havoc.;i don't care.;30;Pop;https://i.scdn.co/image/ab67616d0000b27322077b99a7128f2a29f820ae
Kalulu;I Bought You Flowers;19;Pop;https://i.scdn.co/image/ab67616d0000b2739094517ba13e6f239f78b2f1
Kalulu;When Everything Falls;19;Pop;https://i.scdn.co/image/ab67616d0000b273f00470a00012227e8935a113
Kalulu;Videodisks;19;Pop;https://i.scdn.co/image/ab67616d0000b27301ccf5e45a696adcee5e73de
Kalulu;Slo - Mo;19;Pop;https://i.scdn.co/image/ab67616d00001e02d41e602105262b283f20f3e2
Kalulu;Comfort;19;Pop;https://i.scdn.co/image/ab6761610000e5eb9d0e66e95a090ddf61e0ce78
Billie Eilish;lovely (with Khalid);90;Pop;https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c
Billie Eilish;TV;90;Pop;https://i.scdn.co/image/ab67616d0000b2737a4781629469bb83356cd318
Billie Eilish;Happier Than Ever;90;Pop;https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e
Billie Eilish;everything i wanted;90;Pop;https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249
Billie Eilish;Bored;90;Pop;https://i.scdn.co/image/ab67616d00001e0210e4db3f2f17fad89e2b6f7e
Taylor Swift;Anti-Hero;100;Pop;https://i.scdn.co/image/ab67616d0000b273eb7289d463cd524a93b722c9
Taylor Swift;Lavender Haze;100;Pop;https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Taylor_Swift_-_Lavender_Haze.png/220px-Taylor_Swift_-_Lavender_Haze.png
Taylor Swift;Blank Space;100;Pop;https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
Taylor Swift;Midnight Rain;100;Pop;https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
Taylor Swift;Don’t Blame Me;100;Pop;https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b
Ed Sheeran;Perfect;92;Pop;https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Ed Sheeran;Shivers;92;Pop;https://i.scdn.co/image/ab67616d0000b2730ec1f3493edc0c888ff2d57c
Ed Sheeran;Shape of You;92;Pop;https://i.scdn.co/image/ab67616d0000b27383e9b06ccd219248b5301264
Ed Sheeran;Bad Habits;92;Pop;https://i.scdn.co/image/ab67616d0000b2734e03a288fd79707055759f9c
Ed Sheeran;Photograph;92;Pop;https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd
Lady Gaga;Bloody Mary;88;Pop;https://i.scdn.co/image/ab67616d0000b273a47c0e156ea3cebe37fdcab8
Lady Gaga;Shallow;88;Pop;https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342
Lady Gaga;Poker Face;88;Pop;https://i.scdn.co/image/ab67616d0000b2739ff8dea75219ec13530d97f1
Lady Gaga;Always Remember Us This Way;88;Pop;https://i.scdn.co/image/ab67616d0000b273a21d45c2b041fdc3746a3534
Lady Gaga;Just Dance;88;Pop;https://i.scdn.co/image/ab67616d0000b2732e20e83e46a4830cf77e4ec8
Beyoncé;CUFF IT;89;Pop;https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7
