Artist;Top Track;Popularity;Genre;;,
Thad Kopec;One Last Wedding;18;Indie;;,
Thad Kopec;Bereft of the Myth;18;Indie;;,
Thad Kopec;Nature of Belonging;18;Indie;;,
Thad Kopec;I Will Listen;18;Indie;;,
Thad Kopec;Sitting Sill (feat. Liza Anne);18;Indie;;,
Songs Of Water;The Sea Has Spoken;24;Indie;;,
Songs Of Water;Everything That Rises;24;Indie;;,
Songs Of Water;11 Miles;24;Indie;;,
Songs Of Water;Horizons;24;Indie;;,
Songs Of Water;Golden Summer;24;Indie;;,
Optiganally Yours;Night Shop;12;Indie;;,
Optiganally Yours;Gepetto;12;Indie;;,
Optiganally Yours;Whomever Watches You Sleep;12;Indie;;,
Optiganally Yours;How Do You Feel?;12;Indie;;,
Optiganally Yours;Hope in Your Eyes;12;Indie;;,
Moonface;Minotaur Forgiving Knossos;21;Indie;;,
Moonface;Teary Eyes And Bloody Lips;21;Indie;;,
Moonface;Barbarian;21;Indie;;,
Moonface;Minotaur Forgiving Minos;21;Indie;;,
Moonface;Minotaur Forgiving Theseus;21;Indie;;,
Bunny Lowe;Seventeen;14;Indie;;,
Bunny Lowe;Nicoteen;14;Indie;;,
Bunny Lowe;Strawberry;14;Indie;;,
Bunny Lowe;Blood In My Nikes;14;Indie;;,
Bunny Lowe;Wow.;14;Indie;;,
Azeda Booth;Be It;6;Indie;;,
Azeda Booth;Ran;6;Indie;;,
Azeda Booth;In Red;6;Indie;;,
Azeda Booth;Big Fists;6;Indie;;,
Azeda Booth;Numberguts;6;Indie;;,
Go Cactus;No Money;7;Indie;;,
Go Cactus;Space Monkey;7;Indie;;,
Go Cactus;On Time;7;Indie;;,
Go Cactus;Hippie Jump;7;Indie;;,
Go Cactus;Something in Your Drink;7;Indie;;,
Oceanator;I Would Find You;24;Indie;;,
Oceanator;Stuck;24;Indie;;,
Oceanator;Bad Brain Daze;24;Indie;;,
Oceanator;Heartbeat;24;Indie;;,
Oceanator;The Last Summer;24;Indie;;,
Crisman;Cya;29;Indie;;,
Crisman;Portrait;29;Indie;;,
Crisman;Ocean;29;Indie;;,
Crisman;Surprise;29;Indie;;,
Crisman;Rain;29;Indie;;,
Gabby's World;The Thunder Answered Back;30;Indie;;,
Gabby's World;Alone at the Party;30;Indie;;,
Gabby's World;Broken Necks;30;Indie;;,
Gabby's World;Corrina;30;Indie;;,
Gabby's World;I Admit That I'm Scared;30;Indie;;,
Foster The People;Pumped Up Kicks;73;Indie;;,
Foster The People;Imagination;73;Indie;;,
Foster The People;Sit Next to Me;73;Indie;;,
Foster The People;Houdini;73;Indie;;,
Foster The People;Helena Beat;73;Indie;;,
The Whitest Boy Alive;Burning;56;Indie;;,
The Whitest Boy Alive;1517;56;Indie;;,
The Whitest Boy Alive;Golden Cage;56;Indie;;,
The Whitest Boy Alive;Inflation;56;Indie;;,
The Whitest Boy Alive;Fireworks;56;Indie;;,
Arcade Fire;The Suburbs;68;Indie;;,
Arcade Fire;Wake Up;68;Indie;;,
Arcade Fire;Rebellion (Lies);68;Indie;;,
Arcade Fire;Everything Now;68;Indie;;,
Arcade Fire;Song on the Beach;68;Indie;;,
Mac DeMarco;Heart To Heart;83;Indie;;,
Mac DeMarco;Chamber Of Reflection;83;Indie;;,
Mac DeMarco;For the First Time;83;Indie;;,
Mac DeMarco;My Kind of Woman;83;Indie;;,
Mac DeMarco;Freaking Out the Neighborhood;83;Indie;;,
Tame Impala;The Less I Know The Better;83;Indie;;,
Tame Impala;Borderline;83;Indie;;,
Tame Impala;New Gold (feat. Tame Impala and Bootie Brown);83;Indie;;,
Tame Impala;New Person, Same Old Mistakes;83;Indie;;
Tame Impala;Eventually;83;Indie;;,
Foals;My Number;66;Indie;;,
Foals;Mountain at My Gates;66;Indie;;,
Foals;2am;66;Indie;;,
Foals;Late Night - Solomun Remix;66;Indie;;,
Foals;Spanish Sahara;66;Indie;;,
Wet Leg;Wet Dream;66;Indie;;,
Wet Leg;Chaise Longue;66;Indie;;,
Wet Leg;Being In Love;66;Indie;;,
Wet Leg;Angelica;66;Indie;;,
Wet Leg;Ur Mum;66;Indie;;,
Two Door Cinema Club;What You Know;70;Indie;;,
Two Door Cinema Club;Undercover Martyn;70;Indie;;,
Two Door Cinema Club;Something Good Can Work;70;Indie;;,
Two Door Cinema Club;Sun;70;Indie;;,
Two Door Cinema Club;I Can Talk;70;Indie;;,
Cage The Elephant;Cigarette Daydreams;76;Indie;;,
Cage The Elephant;Ain't No Rest for the Wicked;76;Indie;;,
Cage The Elephant;Come a Little Closer;76;Indie;;,
Cage The Elephant;Trouble;76;Indie;;,
Cage The Elephant;Cold Cold Cold;76;Indie;;,
Arctic Monkeys;I Wanna Be Yours;89;Indie;;,
Arctic Monkeys;505;89;Indie;;,
Arctic Monkeys;Do I Wanna Know?;89;Indie;;,
Arctic Monkeys;Why'd You Only Call Me When You're High?;89;Indie;;,
Arctic Monkeys;R U Mine?;89;Indie;;,
Juletta;Across the World (feat. Ishan);13;Pop;;,
Juletta;Strawberry;13;Pop;;,
Juletta;Gut Feeling;13;Pop;;,
Juletta;Solstice;13;Pop;;,
Juletta;Pandora;13;Pop;;,
Heart Beach;Brittle;1;Pop;;,
Heart Beach;Away;1;Pop;;,
Heart Beach;Know Her;1;Pop;;,
Heart Beach;8am;1;Pop;;,
Heart Beach;Summer;1;Pop;;,
Hot Lava;Blue Dragon;2;Pop;;,
Hot Lava;Apple+Option+Fire;2;Pop;;,
Hot Lava;Mummy Beach;2;Pop;;,
Hot Lava;Ghosties;2;Pop;;,
Hot Lava;Pink Lemonade;2;Pop;;,
The Leaf Library;There Seen from Here;8;Pop;;,
The Leaf Library;About Minerals;8;Pop;;,
The Leaf Library;Goodbye Four Walls;8;Pop;;,
The Leaf Library;Agnes In The Square;8;Pop;;,
The Leaf Library;Walking Backwards;8;Pop;;,
Pallers;Come Rain, Come Sunshine;3;Pop;;
Pallers;Humdrum;3;Pop;;,
Pallers;The Kiss;3;Pop;;,
Pallers;Another Heaven;3;Pop;;,
Pallers;Years Go, Days Pass;3;Pop;;
Very Truly Yours;I'd Write You a Song;2;Pop;;,
Very Truly Yours;Things You Used to Say;2;Pop;;,
Very Truly Yours;Love is Hard;2;Pop;;,
Very Truly Yours;Dear;2;Pop;;,
Very Truly Yours;Sorry to Say It;2;Pop;;,
Brigida HB;Forest Queen;0;Pop;;,
Brigida HB;Dal tuo Valentino;0;Pop;;,
Brigida HB;Authorized Dealer;0;Pop;;,
Brigida HB;Beyond Reasonable Doubt;0;Pop;;,
Brigida HB;Until Further Notice;0;Pop;;,
Tuba Tuba;Hemmelig Klubb;5;Pop;;,
Tuba Tuba;Årets Lyseste Dag;5;Pop;;,
Tuba Tuba;Slackerkid_91;5;Pop;;,
Tuba Tuba;Kul Ferie;5;Pop;;,
Tuba Tuba;Inni Planeten;5;Pop;;,
pretty havoc.;goddess;30;Pop;;,
pretty havoc.;JENNIE KIM;30;Pop;;,
pretty havoc.;PUNCHING BAG;30;Pop;;,
pretty havoc.;ATOM BOMB;30;Pop;;,
pretty havoc.;i don't care.;30;Pop;;,
Kalulu;I Bought You Flowers;19;Pop;;,
Kalulu;When Everything Falls;19;Pop;;,
Kalulu;Videodisks;19;Pop;;,
Kalulu;Slo - Mo;19;Pop;;,
Kalulu;Comfort;19;Pop;;,
Billie Eilish;lovely (with Khalid);90;Pop;;,
Billie Eilish;TV;90;Pop;;,
Billie Eilish;Happier Than Ever;90;Pop;;,
Billie Eilish;everything i wanted;90;Pop;;,
Billie Eilish;Bored;90;Pop;;,
Taylor Swift;Anti-Hero;100;Pop;;,
Taylor Swift;Lavender Haze;100;Pop;;,
Taylor Swift;Blank Space;100;Pop;;,
Taylor Swift;Midnight Rain;100;Pop;;,
Taylor Swift;Don’t Blame Me;100;Pop;;,
Ed Sheeran;Perfect;92;Pop;;,
Ed Sheeran;Shivers;92;Pop;;,
Ed Sheeran;Shape of You;92;Pop;;,
Ed Sheeran;Bad Habits;92;Pop;;,
Ed Sheeran;Photograph;92;Pop;;,
Lady Gaga;Bloody Mary;88;Pop;;,
Lady Gaga;Shallow;88;Pop;;,
Lady Gaga;Poker Face;88;Pop;;,
Lady Gaga;Always Remember Us This Way;88;Pop;;,
Lady Gaga;Just Dance;88;Pop;;,
Beyoncé;CUFF IT;89;Pop;;,
Beyoncé;Crazy In Love (feat. Jay-Z);89;Pop;;,
Beyoncé;Halo;89;Pop;;,
Beyoncé;BREAK MY SOUL;89;Pop;;,
Beyoncé;AMERICA HAS A PROBLEM;89;Pop;;,
The Weeknd;Creepin' (with The Weeknd & 21 Savage);99;Pop;;,
The Weeknd;Die For You (with Ariana Grande) - Remix;99;Pop;;,
The Weeknd;Die For You;99;Pop;;,
The Weeknd;Starboy;99;Pop;;,
The Weeknd;Blinding Lights;99;Pop;;,
One Direction;Night Changes;87;Pop;;,
One Direction;What Makes You Beautiful;87;Pop;;,
One Direction;Story of My Life;87;Pop;;,
One Direction;18;87;Pop;;,
One Direction;Right Now;87;Pop;;,
Bruno Mars;When I Was Your Man;90;Pop;;,
Bruno Mars;Locked out of Heaven;90;Pop;;,
Bruno Mars;Just the Way You Are;90;Pop;;,
Bruno Mars;Talking to the Moon;90;Pop;;,
Bruno Mars;Leave The Door Open;90;Pop;;,
Harry Styles;As It Was;91;Pop;;,
Harry Styles;Late Night Talking;91;Pop;;,
Harry Styles;Watermelon Sugar;91;Pop;;,
Harry Styles;Adore You;91;Pop;;,
Harry Styles;Sign of the Times;91;Pop;;,
Dua Lipa;Cold Heart - PNAU Remix;89;Pop;;,
Dua Lipa;One Kiss (with Dua Lipa);89;Pop;;,
Dua Lipa;Don't Start Now;89;Pop;;,
Dua Lipa;Levitating (feat. DaBaby);89;Pop;;,
Dua Lipa;Levitating;89;Pop;;,
ATM Curly;Ride With Me;30;Hip Hop/ Rap;;,
ATM Curly;Pisces;30;Hip Hop/ Rap;;,
ATM Curly;Chanel;30;Hip Hop/ Rap;;,
ATM Curly;Gangsta Party;30;Hip Hop/ Rap;;,
ATM Curly;Juicy;30;Hip Hop/ Rap;;,
Brandon Fish;Playground;6;Hip Hop/ Rap;;,
Brandon Fish;The Boss;6;Hip Hop/ Rap;;,
Brandon Fish;Too Close;6;Hip Hop/ Rap;;,
Brandon Fish;The Motions;6;Hip Hop/ Rap;;,
Brandon Fish;Just Do It;6;Hip Hop/ Rap;;,
Teknical Development.is;Strictly 4 All;27;Hip Hop/ Rap;;,
Teknical Development.is;Weed Flower Pot Heads;27;Hip Hop/ Rap;;,
Teknical Development.is;Move with Us;27;Hip Hop/ Rap;;,
Teknical Development.is;Ninjaz in the Mist;27;Hip Hop/ Rap;;,
Teknical Development.is;Too Many Pictures;27;Hip Hop/ Rap;;,
Aaron Rose;Break It Down (feat. Domo Genesis);30;Hip Hop/ Rap;;,
Aaron Rose;FTW (feat. Joey Bada$$ & Chuck Strangers);30;Hip Hop/ Rap;;,
Aaron Rose;All About You;30;Hip Hop/ Rap;;,
Aaron Rose;The Art of Sole;30;Hip Hop/ Rap;;,
Aaron Rose;Aaron Rose “On The Radar” Freestyle;30;Hip Hop/ Rap;;,
The Merk;Forced Habits;28;Hip Hop/ Rap;;,
The Merk;Anti-Social;28;Hip Hop/ Rap;;,
The Merk;Going Thru It;28;Hip Hop/ Rap;;,
The Merk;More Than a Dime;28;Hip Hop/ Rap;;,
The Merk;To Myself Four Years from Now;28;Hip Hop/ Rap;;,
Academic Dishonesty;Winds of Change;16;Hip Hop/ Rap;;,
Academic Dishonesty;Victory;16;Hip Hop/ Rap;;,
Academic Dishonesty;Smoke Break;16;Hip Hop/ Rap;;,
Academic Dishonesty;Rise Up;16;Hip Hop/ Rap;;,
Academic Dishonesty;One Less;16;Hip Hop/ Rap;;,
Mongoose;Unsigned Hype;25;Hip Hop/ Rap;;,
Mongoose;Get It Going;25;Hip Hop/ Rap;;,
Mongoose;M I A;25;Hip Hop/ Rap;;,
Mongoose;Ain't Shit;25;Hip Hop/ Rap;;,
Mongoose;Crazy Jungle;25;Hip Hop/ Rap;;,
Tammy ATQ;Pictures.;13;Hip Hop/ Rap;;,
Tammy ATQ;WHAT CAN A MAN DO;13;Hip Hop/ Rap;;,
Tammy ATQ;FIND MYSELF;13;Hip Hop/ Rap;;,
Tammy ATQ;NO ANGELS;13;Hip Hop/ Rap;;,
Tammy ATQ;BACK IN THE DAYS;13;Hip Hop/ Rap;;,
Benny Mails;These Days (feat. Kasien);28;Hip Hop/ Rap;;,
Benny Mails;FUCK IT;28;Hip Hop/ Rap;;,
Benny Mails;Solace;28;Hip Hop/ Rap;;,
Benny Mails;Aware (feat. Marika Hackman);28;Hip Hop/ Rap;;,
Benny Mails;Mantra;28;Hip Hop/ Rap;;,
Stress The White Boy;Danger Hour (feat. Capo);12;Hip Hop/ Rap;;,
Stress The White Boy;Blowing My Mind (feat. Freddy Madball);12;Hip Hop/ Rap;;,
Stress The White Boy;Prisoners (feat. Outerspace);12;Hip Hop/ Rap;;,
Stress The White Boy;Award Tour 2011 (feat. Livin);12;Hip Hop/ Rap;;,
Stress The White Boy;Driftin' (feat. Brainstorm);12;Hip Hop/ Rap;;,
Eminem;Mockingbird;94;Hip Hop/ Rap;;,
Eminem;Without Me;94;Hip Hop/ Rap;;,
Eminem;The Real Slim Shady;94;Hip Hop/ Rap;;,
"Eminem;""Lose Yourself - From """"8 Mile"""" Soundtrack"";94;Hip Hop/ Rap;;,";;;;;
Eminem;Superman;94;Hip Hop/ Rap;;,
Loyle Carner;Damselfly;69;Hip Hop/ Rap;;,
Loyle Carner;Ottolenghi;69;Hip Hop/ Rap;;,
Loyle Carner;Let It Go;69;Hip Hop/ Rap;;,
Loyle Carner;Ice Water;69;Hip Hop/ Rap;;,
Loyle Carner;Speed Of Plight;69;Hip Hop/ Rap;;,
Kendrick Lamar;Money Trees;91;Hip Hop/ Rap;;,
Kendrick Lamar;All The Stars (with SZA);91;Hip Hop/ Rap;;,
Kendrick Lamar;family ties (with Kendrick Lamar);91;Hip Hop/ Rap;;,
Kendrick Lamar;HUMBLE.;91;Hip Hop/ Rap;;,
Kendrick Lamar;LOVE. FEAT. ZACARI.;91;Hip Hop/ Rap;;,
50 Cent;In Da Club;85;Hip Hop/ Rap;;,
50 Cent;Candy Shop;85;Hip Hop/ Rap;;,
50 Cent;P.I.M.P.;85;Hip Hop/ Rap;;,
50 Cent;Many Men (Wish Death);85;Hip Hop/ Rap;;,
50 Cent;21 Questions;85;Hip Hop/ Rap;;,
G-Eazy;Him & I (with Halsey);77;Hip Hop/ Rap;;,
G-Eazy;Me, Myself & I;77;Hip Hop/ Rap;;
G-Eazy;No Limit;77;Hip Hop/ Rap;;,
G-Eazy;I Mean It (feat. Remo);77;Hip Hop/ Rap;;,
G-Eazy;Still Be Friends (feat. Tory Lanez & Tyga);77;Hip Hop/ Rap;;,
J. Cole;on the street (with J. Cole);89;Hip Hop/ Rap;;,
J. Cole;No Role Modelz;89;Hip Hop/ Rap;;,
J. Cole;Wet Dreamz;89;Hip Hop/ Rap;;,
J. Cole;MIDDLE CHILD;89;Hip Hop/ Rap;;,
J. Cole;Work Out;89;Hip Hop/ Rap;;,
Drake;Rich Flex;98;Hip Hop/ Rap;;,
Drake;Jimmy Cooks (feat. 21 Savage);98;Hip Hop/ Rap;;,
Drake;WAIT FOR U (feat. Drake & Tems);98;Hip Hop/ Rap;;,
Drake;One Dance;98;Hip Hop/ Rap;;,
Drake;God's Plan;98;Hip Hop/ Rap;;,
Travis Scott;Trance (with Travis Scott & Young Thug);92;Hip Hop/ Rap;;,
Travis Scott;Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage];92;Hip Hop/ Rap;;,
Travis Scott;goosebumps;92;Hip Hop/ Rap;;,
Travis Scott;Pussy & Millions (feat. Travis Scott);92;Hip Hop/ Rap;;,
Travis Scott;SICKO MODE;92;Hip Hop/ Rap;;,
Kanye West;Heartless;93;Hip Hop/ Rap;;,
Kanye West;Ni**as In Paris;93;Hip Hop/ Rap;;,
Kanye West;Bound 2;93;Hip Hop/ Rap;;,
Kanye West;Flashing Lights;93;Hip Hop/ Rap;;,
Kanye West;Father Stretch My Hands Pt. 1;93;Hip Hop/ Rap;;,
Cardi B;WAP (feat. Megan Thee Stallion);83;Hip Hop/ Rap;;,
Cardi B;I Like It;83;Hip Hop/ Rap;;,
Cardi B;Tomorrow 2 (with Cardi B);83;Hip Hop/ Rap;;,
Cardi B;Up;83;Hip Hop/ Rap;;,
Cardi B;DESPECHÁ RMX;83;Hip Hop/ Rap;;,
Ganser;People Watching;17;Rock;;,
Ganser;Avoidance;17;Rock;;,
Ganser;Projector;17;Rock;;,
Ganser;What Me Worry?;17;Rock;;,
Ganser;Lucky;17;Rock;;,
Control Top;Type A;13;Rock;;,
Control Top;Covert Contracts;13;Rock;;,
Control Top;Office Rage;13;Rock;;,
Control Top;Chain Reaction;13;Rock;;,
Control Top;One Good Day;13;Rock;;,
Downtown Boys;Dancing In The Dark;19;Rock;;,
Downtown Boys;A Wall;19;Rock;;,
Downtown Boys;L’Internationale;19;Rock;;,
Downtown Boys;Monstro;19;Rock;;,
Downtown Boys;Wave Of History;19;Rock;;,
The Paranoyds;Heather Doubtfire;29;Rock;;,
The Paranoyds;BWP;29;Rock;;,
The Paranoyds;Face First;29;Rock;;,
The Paranoyds;Lizzie;29;Rock;;,
The Paranoyds;Single Origin Experience;29;Rock;;,
Gauche;Pay Day;8;Rock;;,
Gauche;Flash;8;Rock;;,
Gauche;Running;8;Rock;;,
Gauche;Cycles;8;Rock;;,
Gauche;Conspiracy Theories;8;Rock;;,
Haterade;LIKE A BOSS;30;Rock;;,
Haterade;Beast (feat. Young Lyxx);30;Rock;;,
Haterade;Friends Don't Lie;30;Rock;;,
Haterade;Heartbroken - Haterade Remix;30;Rock;;,
Haterade;Smash;30;Rock;;,
Infinity Crush;Happy Hour;24;Rock;;,
Infinity Crush;demolition derby;24;Rock;;,
Infinity Crush;Tiny Souls in My Eyelashes;24;Rock;;,
Infinity Crush;myth;24;Rock;;,
Infinity Crush;hymn;24;Rock;;,
Harmony Woods;Speckled;20;Rock;;,
Harmony Woods;Jenkintown-Wyncote;20;Rock;;,
Harmony Woods;The Best Things;20;Rock;;,
Harmony Woods;Negro y Azul;20;Rock;;,
Harmony Woods;Vignette #1;20;Rock;;,
Rockettothesky;Grizzly Man;22;Rock;;,
Rockettothesky;Barrie for Billy Mackenzie;22;Rock;;,
Rockettothesky;A Flock of Chestshire Cats;22;Rock;;,
Rockettothesky;Cigars;22;Rock;;,
Rockettothesky;Mothering Silence;22;Rock;;,
Graveland;Black Metal War!;29;Rock;;,
Graveland;Black Metal War;29;Rock;;,
Graveland;Outro;29;Rock;;,
Graveland;Blood on my Sword;29;Rock;;,
Graveland;Intro;29;Rock;;,
Jeff Rosenstock;Nausea;52;Rock;;,
Jeff Rosenstock;Pash Rash;52;Rock;;,
Jeff Rosenstock;You, In Weird Cities;52;Rock;;
Jeff Rosenstock;9-Oct;52;Rock;;,
Jeff Rosenstock;We Begged 2 Explode;52;Rock;;,
Dehd;Bad Love;52;Rock;;,
Dehd;Lucky;52;Rock;;,
Dehd;Loner;52;Rock;;,
Dehd;Haha;52;Rock;;,
Dehd;Flying;52;Rock;;,
The Frights;You Are Going to Hate This;53;Rock;;,
The Frights;Tongues;53;Rock;;,
The Frights;Tungs;53;Rock;;,
The Frights;Crust Bucket;53;Rock;;,
The Frights;Afraid of the Dark;53;Rock;;,
Joyce Manor;Catalina Fight Song;57;Rock;;,
Joyce Manor;Constant Headache;57;Rock;;,
Joyce Manor;Falling in Love Again;57;Rock;;,
Joyce Manor;NBTSA;57;Rock;;,
Joyce Manor;Heart Tattoo;57;Rock;;,
Nirvana;Smells Like Teen Spirit;84;Rock;;,
Nirvana;Come As You Are;84;Rock;;,
Nirvana;Heart-Shaped Box;84;Rock;;,
Nirvana;Something In The Way;84;Rock;;,
Nirvana;Lithium;84;Rock;;,
Metallica;Enter Sandman (Remastered);85;Rock;;,
Metallica;Master of Puppets (Remastered);85;Rock;;,
Metallica;Nothing Else Matters (Remastered);85;Rock;;,
Metallica;For Whom The Bell Tolls (Remastered);85;Rock;;,
Metallica;One (Remastered);85;Rock;;,
U2;With Or Without You - Remastered;81;Rock;;,
U2;I Still Haven't Found What I'm Looking For;81;Rock;;,
U2;One;81;Rock;;,
U2;Beautiful Day;81;Rock;;,
U2;Sunday Bloody Sunday - Remastered 2008;81;Rock;;,
Green Day;Basket Case;81;Rock;;,
Green Day;Boulevard of Broken Dreams;81;Rock;;,
Green Day;American Idiot;81;Rock;;,
Green Day;Good Riddance (Time of Your Life);81;Rock;;,
Green Day;Wake Me up When September Ends;81;Rock;;,
The Nude Party;Sold out of Love;53;Rock;;,
The Nude Party;Chevrolet Van;53;Rock;;,
The Nude Party;Wild Coyote;53;Rock;;,
The Nude Party;Feels Alright;53;Rock;;,
The Nude Party;Ride On;53;Rock ;;,
Marilyn Manson;The Beautiful People;71;Rock ;;,
Marilyn Manson;Sweet Dreams (Are Made Of This);71;Rock ;;,
Marilyn Manson;Tainted Love;71;Rock ;;,
Marilyn Manson;This Is The New S**t;71;Rock ;;,
Marilyn Manson;The Fight Song;71;Rock ;;,
Tzusing;4 Floors of Whores;27;Techno;;,
Tzusing;日出東方 唯我不敗;27;Techno;;,
Tzusing;孝忍狠 (Filial Endure Ruthless);27;Techno;;,
Tzusing;King of Hosts;27;Techno;;,
Tzusing;偶像包袱 (Idol Baggage);27;Techno;;,
Robert Hood;City Limits - Robert Hood Remix;29;Techno;;,
Robert Hood;The Greatest Dancer;29;Techno;;,
Robert Hood;Onslaught - FJAAK Remix;29;Techno;;,
Robert Hood;Nothing Stops Detroit;29;Techno;;,
Robert Hood;Dancer;29;Techno;;,
Jeff Mills;The Bells;25;Techno;;,
Jeff Mills;The Bells - Blue Potential Version;25;Techno;;,
Jeff Mills;Take No Prisoners - Original Mix;25;Techno;;,
Jeff Mills;Metropolis Metropolis;25;Techno;;,
Jeff Mills;The Masters of Work and Play;25;Techno;;,
Juan Atkins;Lightyears;28;Techno;;,
Juan Atkins;Track Ten;28;Techno;;,
Juan Atkins;Riod;28;Techno;;,
Juan Atkins;Merkur;28;Techno;;,
Juan Atkins;Transport;28;Techno;;,
Esther Duijn;No Dignity;3;Techno;;,
Esther Duijn;Deity - Original Mix;3;Techno;;,
Esther Duijn;Deity - Scalameriya Remix;3;Techno;;,
Esther Duijn;Dawn of the Last Era - Ruffneck Prime Remix;3;Techno;;,
Esther Duijn;Exomorph - Original Mix;3;Techno;;,
Headless Horseman;Ether - Headless Horseman Remix;17;Techno;;,
Headless Horseman;Legend - Original Mix;17;Techno;;,
Headless Horseman;Widow 's Peak;17;Techno;;,
Headless Horseman;Sanctuary;17;Techno;;,
Headless Horseman;V ∴ V ∴ V - Headless Horseman Remix;17;Techno;;,
Blazej Malinowski;Mika - Steve Bicknell Remix;12;Techno;;,
Blazej Malinowski;Katharsis - Original;12;Techno;;,
Blazej Malinowski;Behind - Original;12;Techno;;,
Blazej Malinowski;Different Path - Original Mix;12;Techno;;,
Blazej Malinowski;Mika - Original Mix;12;Techno;;,
Gemini Voice Archive;Safehouse - Gemini Voice Archive Remix;1;Techno;;,
Gemini Voice Archive;Absoluto Disparate;1;Techno;;,
Gemini Voice Archive;Forms;1;Techno;;,
Gemini Voice Archive;Framauro's Plains - Slam Remix;1;Techno;;,
Gemini Voice Archive;Desolate;1;Techno;;,
Janice Vidal;大哥;30;Techno;;,
Janice Vidal;心亂如麻;30;Techno;;,
Janice Vidal;離家出走;30;Techno;;,
Janice Vidal;殘酷遊戲;30;Techno;;,
Janice Vidal;就算世界無童話;30;Techno;;,
Innerspace Halflife;Wind;1;Techno;;,
Innerspace Halflife;Phazzled;1;Techno;;,
Innerspace Halflife;Escape System;1;Techno;;,
Innerspace Halflife;Cardbox - Innerspace Halflife Remix;1;Techno;;,
Innerspace Halflife;Acid Dust;1;Techno;;,
Carl Cox;I Want You (Forever) - Josh Butler Remix - Radio Edit;55;Techno;;,
Carl Cox;Finder - Carl Cox Remix Edit;55;Techno;;,
Carl Cox;Speed Trials On Acid (feat. Dan Diamond) - LF SYSTEM Remix;55;Techno;;,
Carl Cox;Inferno;55;Techno;;,
Carl Cox;Deep Space X;55;Techno;;,
Charlotte de Witte;The Age Of Love (Charlotte de Witte & Enrico Sangiuliano Remix);63;Techno;;,
Charlotte de Witte;Apollo - Original Mix;63;Techno;;,
Charlotte de Witte;Hold That Sucker Down (Mixed) - Charlotte de Witte Trance Remix;63;Techno;;,
Charlotte de Witte;Doppler;63;Techno;;,
Charlotte de Witte;Universal Consciousness;63;Techno;;,
Maceo Plex;Insomnia 2021 - Epic Edit;54;Techno;;,
Maceo Plex;Solitary Daze;54;Techno;;,
Maceo Plex;Shadow (Maceo Plex Remix);54;Techno;;,
Maceo Plex;Conjure Dreams;54;Techno;;,
Maceo Plex;Gravy Train - Nicolas Jaar Remix;54;Techno;;,
Jeff Mills;The Bells;35;Techno;;,
Jeff Mills;The Bells - Blue Potential Version;35;Techno;;,
Jeff Mills;Take No Prisoners - Original Mix;35;Techno;;,
Jeff Mills;Metropolis Metropolis;35;Techno;;,
Jeff Mills;The Masters of Work and Play;35;Techno;;,
Richie Hawtin;Spastik;40;Techno;;,
Richie Hawtin;Contain (In Key);40;Techno;;,
Richie Hawtin;Consumed;40;Techno;;,
Richie Hawtin;Darkseid - Richie Hawtin Remix;40;Techno;;,
Richie Hawtin;Pakard;40;Techno;;,
Stephan Bodzin;Singularity;50;Techno;;,
Stephan Bodzin;Sleepless - Stephan Bodzin Remix;50;Techno;;,
Stephan Bodzin;Atlas - Adriatique Remix;50;Techno;;,
Stephan Bodzin;Atlas - Shall Ocin & Artbat Remix;50;Techno;;,
Stephan Bodzin;Astronautin - Boris Brejcha Remix;50;Techno;;,
Peggy Gou;Starry Night - Edit;60;Techno;;,
Peggy Gou;Can't Get You out of My Head - Peggy Gou’s Midnight Remix;60;Techno;;,
Peggy Gou;It Makes You Forget (Itgehane) - Edit;60;Techno;;,
Peggy Gou;Starry Night - Original Mix;60;Techno;;,
Peggy Gou;I Go - DJ Koze Remix;60;Techno;;,
Mall Grab;Liverpool Street In The Rain;55;Techno;;,
Mall Grab;You;55;Techno;;,
Mall Grab;Love Reigns;55;Techno;;,
Mall Grab;Patience;55;Techno;;,
Mall Grab;Menace II Society;55;Techno;;,
Maya Jane Coles;What They Say;49;Techno;;,
Maya Jane Coles;Other Side;49;Techno;;,
Maya Jane Coles;Bo & Wing;49;Techno;;,
Maya Jane Coles;Something In The Air - Bonobo Remix;49;Techno;;,
Maya Jane Coles;Freefall (feat. Moxie Knox) - Edit;49;Techno;;,
Recondite;Levo;43;Techno;;,
Recondite;Bird;43;Techno;;,
Recondite;Naif;43;Techno;;,
Recondite;Warg;43;Techno;;,
Recondite;Tie In;43;Techno;;,